,#scale(0),id(1),desc_scale(2),desc_id(3),num_prog(4),pid(5),upid(6),desc_pid(7),phantom(8),sam_mvir(9),mvir(10),rvir(11),rs(12),vrms(13),mmp?(14),scale_of_last_MM(15),vmax(16),x(17),y(18),z(19),vx(20),vy(21),vz(22),Jx(23),Jy(24),Jz(25),Spin(26),Breadth_first_ID(27),Depth_first_ID(28),Tree_root_ID(29),Orig_halo_ID(30),Snap_num(31),Next_coprogenitor_depthfirst_ID(32),Last_progenitor_depthfirst_ID(33),Last_mainleaf_depthfirst_ID(34),Rs_Klypin,Mvir_all,M200b,M200c,M500c,M2500c,Xoff,Voff,Spin_Bullock,b_to_a,c_to_a,A[x],A[y],A[z],b_to_a(500c),c_to_a(500c),A[x](500c),A[y](500c),A[z](500c),T/|U|,M_pe_Behroozi,M_pe_Diemer
7842,0.82035,2235065562,0.82335,2250008807.0,6.0,-1.0,-1.0,-1.0,0.0,137533000000000.0,137500000000000.0,1153.314,118.198,969.15,1.0,0.2523,947.63,35.67115,43.19685,17.85756,12.28,60.48,-141.92,1991000000000000.0,-1366000000000000.0,-1108000000000000.0,0.0177,29086658.0,29078874.0,3060299107.0,1979275.0,122.0,29202274.0,29202273.0,29078994.0,118.198,137500000000000.0,148120000000000.0,118120000000000.0,91866000000000.0,50674000000000.0,46.8398,49.61,0.01826,0.7642,0.54747,56.3706,-8.84335,25.3824,0.7891100000000001,0.54869,45.3902,-6.97805,20.6191,0.6176,141900000000000.0,76330000000000.0
8108,0.81735,2220091623,0.82035,2235065562.0,5.0,-1.0,-1.0,-1.0,0.0,137200000000000.0,137200000000000.0,1153.745,119.318,970.1,1.0,0.2523,949.56,35.67261,43.194759999999995,17.863220000000002,1.65,63.11,-135.33,1972000000000000.0,-1301000000000000.0,-1134000000000000.0,0.01753,29086924.0,29078875.0,3060299107.0,2053700.0,121.0,29201957.0,29201956.0,29078994.0,117.367,137160000000000.0,147630000000000.0,117610000000000.0,91918000000000.0,50874000000000.0,45.357,48.49,0.01811,0.76545,0.54783,56.1141,-8.468119999999999,25.4252,0.78999,0.54786,45.2212,-6.7855,20.6799,0.6184,141700000000000.0,76830000000000.0
8379,0.81435,2205086915,0.81735,2220091623.0,6.0,-1.0,-1.0,-1.0,0.0,136900000000000.0,136900000000000.0,1154.32,119.197,970.99,1.0,0.2523,950.64,35.67382,43.19273,17.87025,-4.46,63.76,-135.19,1947000000000000.0,-1260000000000000.0,-1151000000000000.0,0.01739,29087195.0,29078876.0,3060299107.0,2057095.0,120.0,29201653.0,29201652.0,29078994.0,117.111,136870000000000.0,147140000000000.0,117300000000000.0,91990000000000.0,50890000000000.0,43.0171,51.25,0.01798,0.76593,0.54775,57.4217,-8.22309,26.1135,0.7913,0.5465399999999999,46.4421,-6.68544,21.1028,0.6192,141400000000000.0,76640000000000.0
8653,0.81135,2190050951,0.81435,2205086915.0,9.0,-1.0,-1.0,-1.0,0.0,136633000000000.0,136600000000000.0,1155.087,118.902,971.84,1.0,0.2523,952.39,35.67709,43.189440000000005,17.87739,-8.05,65.1,-139.22,1927000000000000.0,-1218000000000000.0,-1181000000000000.0,0.01729,29087469.0,29078877.0,3060299107.0,2061422.0,119.0,29201273.0,29201272.0,29078994.0,116.59700000000001,136650000000000.0,146680000000000.0,116940000000000.0,91838000000000.0,50985000000000.0,41.0707,56.59,0.0179,0.7652100000000001,0.54755,57.3799,-7.78037,26.2627,0.7910699999999999,0.54632,46.3849,-6.15433,21.4233,0.62,141000000000000.0,76360000000000.0
8929,0.80835,2174983974,0.81135,2190050951.0,13.0,-1.0,-1.0,-1.0,0.0,136233000000000.0,136400000000000.0,1155.746,118.696,972.74,1.0,0.2523,953.53,35.679520000000004,43.18651,17.88449,-8.29,65.57,-138.33,1901000000000000.0,-1175000000000000.0,-1203000000000000.0,0.01714,29087745.0,29078878.0,3060299107.0,2066192.0,118.0,29200492.0,29200491.0,29078994.0,116.367,136400000000000.0,146210000000000.0,116650000000000.0,91632000000000.0,51022000000000.0,39.1268,56.29,0.01778,0.76388,0.54881,57.1843,-7.3265199999999995,26.2618,0.78555,0.54271,46.3314,-5.68951,21.5388,0.6208,140900000000000.0,76200000000000.0
9211,0.80235,2159832742,0.80835,2174983974.0,11.0,-1.0,-1.0,-1.0,0.0,135533000000000.0,135700000000000.0,1156.516,118.703,974.59,1.0,0.2523,953.54,35.68353,43.17887,17.896160000000002,-1.55,61.28,-141.1,1836000000000000.0,-1148000000000000.0,-1212000000000000.0,0.016890000000000002,29088027.0,29078879.0,3060299107.0,2073417.0,117.0,29199616.0,29199615.0,29078994.0,116.87100000000001,135700000000000.0,145170000000000.0,116120000000000.0,91685000000000.0,50836000000000.0,37.6484,52.65,0.01757,0.7621399999999999,0.54945,56.4446,-6.891610000000001,26.2327,0.78205,0.54359,45.7058,-5.14731,21.8834,0.6226,140100000000000.0,75890000000000.0
9498,0.79635,2144583770,0.80235,2159832742.0,14.0,-1.0,-1.0,-1.0,0.0,134400000000000.0,134500000000000.0,1155.69,117.876,976.64,1.0,0.2523,953.62,35.684509999999996,43.17159,17.905089999999998,-9.1,68.57,-136.08,1687000000000000.0,-1025000000000000.0,-1278000000000000.0,0.01629,29088314.0,29078880.0,3060299107.0,2068983.0,116.0,29198843.0,29198842.0,29078994.0,116.478,134450000000000.0,144170000000000.0,115510000000000.0,91781000000000.0,50687000000000.0,37.5837,55.89,0.01695,0.76315,0.55024,56.7658,-6.47237,27.2947,0.7862399999999999,0.54715,45.7298,-4.42514,23.7729,0.624,138900000000000.0,74970000000000.0
9791,0.79035,2129232110,0.79635,2144583770.0,15.0,-1.0,-1.0,-1.0,0.0,133167000000000.0,133000000000000.0,1154.355,117.154,978.74,1.0,0.2523,950.45,35.684509999999996,43.16705,17.91674,-1.86,55.02,-132.99,1564000000000000.0,-1039000000000000.0,-1344000000000000.0,0.016319999999999998,29088607.0,29078881.0,3060299107.0,2090717.0,115.0,29196565.0,29196564.0,29078994.0,117.62799999999999,133040000000000.0,143160000000000.0,115350000000000.0,91299000000000.0,49943000000000.0,35.8467,43.93,0.01699,0.76368,0.5481199999999999,56.105,-6.17586,27.2911,0.77537,0.53257,45.3549,-4.1086599999999995,24.1471,0.6256,138300000000000.0,74250000000000.0
10093,0.78435,2113804430,0.79035,2129232110.0,15.0,-1.0,-1.0,-1.0,0.0,132000000000000.0,132000000000000.0,1153.872,116.564,980.58,1.0,0.2523,947.24,35.683409999999995,43.16185,17.927960000000002,4.66,50.2,-127.09,1499000000000000.0,-1059000000000000.0,-1306000000000000.0,0.01615,29088909.0,29078882.0,3060299107.0,2099303.0,114.0,29195160.0,29195159.0,29078994.0,119.335,131950000000000.0,142020000000000.0,115160000000000.0,90932000000000.0,49188000000000.0,35.1664,32.73,0.01684,0.76469,0.54414,58.0968,-6.25708,27.7175,0.76861,0.5246,47.215,-4.05273,24.5268,0.6274,136800000000000.0,73390000000000.0
10403,0.77835,2098299024,0.78435,2113804430.0,17.0,-1.0,-1.0,-1.0,0.0,131000000000000.0,131000000000000.0,1153.754,118.832,981.21,1.0,0.2523,946.99,35.68574,43.155159999999995,17.93833,7.27,42.07,-135.0,1480000000000000.0,-1020000000000000.0,-1285000000000000.0,0.01602,29089219.0,29078883.0,3060299107.0,2107877.0,113.0,29194321.0,29194320.0,29078994.0,119.601,130990000000000.0,140410000000000.0,114620000000000.0,90328000000000.0,48908000000000.0,36.3481,35.79,0.01677,0.76317,0.53819,56.8612,-6.1649400000000005,25.8739,0.75668,0.51426,46.483000000000004,-3.9776599999999998,22.737,0.6292,134800000000000.0,73660000000000.0
