,#scale(0),id(1),desc_scale(2),desc_id(3),num_prog(4),pid(5),upid(6),desc_pid(7),phantom(8),sam_mvir(9),mvir(10),rvir(11),rs(12),vrms(13),mmp?(14),scale_of_last_MM(15),vmax(16),x(17),y(18),z(19),vx(20),vy(21),vz(22),Jx(23),Jy(24),Jz(25),Spin(26),Breadth_first_ID(27),Depth_first_ID(28),Tree_root_ID(29),Orig_halo_ID(30),Snap_num(31),Next_coprogenitor_depthfirst_ID(32),Last_progenitor_depthfirst_ID(33),Last_mainleaf_depthfirst_ID(34),Rs_Klypin(35),Mvir_all(36),M200b(37),M200c(38),M500c(39),M2500c(40),Xoff(41),Voff(42),Spin_Bullock(43),b_to_a(44),c_to_a(45),A[x](46),A[y](47),A[z](48),b_to_a(500c)(49),c_to_a(500c)(50),A[x](500c)(51),A[y](500c)(52),A[z](500c)(53),T/|U|(54),M_pe_Behroozi(55),M_pe_Diemer(56),Macc(57),Mpeak(58),Vacc(59),Vpeak(60),Halfmass_Scale(61),Acc_Rate_Inst(62),Acc_Rate_100Myr(63),Acc_Rate_1*Tdyn(64),Acc_Rate_2*Tdyn(65),Acc_Rate_Mpeak(66),Mpeak_Scale(67),Acc_Scale(68),First_Acc_Scale(69),First_Acc_Mvir(70),First_Acc_Vmax(71),Vmax@Mpeak(72)
5462,1.00035,3060302207,0.0,-1,1,-1,-1,-1,0,97410300000.0,86000000000.0,91.349,14.74,70.48,1,0.7303,69.81,48.30675,43.34775,29.08254,-368.71,180.42,-82.19,24240000000.0,1020000000.0,-15650000000.0,0.03703,705609677,705609677,3060302207,1862398,180,-1,705610265,705609846,14.7531,87912000000,101810000000,62151000000,44024000000,20853000000,2.10419,23.39,0.04083,0.87539,0.5382600000000001,-0.56615,7.7092,4.16614,0.93601,0.53675,-1.18761,4.62896,4.16746,0.6014,86290000000,57380000000,86000000000.0,86000000000.0,69.81,76.4,0.7244,6.438,19.21,2.238,8.868,9.584,1.0,1.0,1.0,86000000000.0,69.81,69.81
7832,1.00035,3060300997,0.0,-1,1,3060300998,3060300998,-1,0,56700000000.0,56700000000.0,79.505,2.82,75.58,1,0.6703,87.28,47.505309999999994,43.63896,29.08928,-199.87,238.97,-94.77,-641100000.0,-1137000000.0,-1051000000.0,0.00571,788159688,788159688,3060300997,1861188,180,-1,788160007,788159859,2.90826,66240000000,60380000000,47431000000,38845000000,28077000000,4.50603,9.24,0.00475,0.9711200000000001,0.8398,-0.39634,1.9795,4.1735,0.9430799999999999,0.7955399999999999,2.6453599999999997,-0.61012,-2.78023,0.5618,93630000000,24260000000,119700000000.0,182500000000.0,87.5,104.91,0.3303,55.32,22.07,-13.52,-21.73,13.68,0.7184,0.784,0.784,119700000000.0,87.5,104.91
321,1.00035,3058452082,0.0,-1,1,3058452345,3058452345,-1,0,2001000000000.0,2001000000000.0,260.807,16.946,247.55,1,0.2463,232.87,2.0509,29.974859999999996,17.79932,-758.23,506.27,268.19,2204000000000.0,-4659000000000.0,4436000000000.0,0.0514,316658873,316658873,3058452082,12273,180,-1,316662297,316659051,20.0586,2171500000000,2088600000000,1838600000000,1517400000000,823370000000,4.55167,15.68,0.05069,0.80513,0.62844,14.181,-2.7411,-2.84767,0.76159,0.60511,11.2224,-5.13197,-1.64074,0.6442,2679000000000,851900000000,2166000000000.0,2228000000000.0,229.43,259.73,0.3963,-643.8,-522.0,-103.2,-34.99,10.91,0.8863,0.9279999999999999,0.9279999999999999,2166000000000.0,229.43,229.31
454,1.00035,3058451980,0.0,-1,1,3058452345,3058452345,-1,0,1376000000000.0,1376000000000.0,230.178,14.734,223.76,1,0.4743,204.66,1.9596,29.47056,17.56201,-520.22,807.19,-372.74,-685300000000.0,5234000000000.0,-198800000000.0,0.07153999999999999,351716309,351716309,3058451980,12171,180,-1,351718657,351716486,18.005,1515500000000,1405600000000,1320400000000,1095300000000,555550000000,18.5055,21.87,0.07354,0.82742,0.5768800000000001,-4.843,-1.89415,13.1823,0.81725,0.57307,-5.52366,-1.77168,10.3159,0.6748,1895000000000,569700000000,1223000000000.0,1391000000000.0,189.77,209.9,0.4384,47.69,-107.6,54.35,51.7,36.82,0.9853,0.9279999999999999,0.9279999999999999,1223000000000.0,189.77,204.4
896,1.00035,3058452146,0.0,-1,1,-1,-1,-1,0,682100000000.0,645200000000.0,178.829,9.696,163.89,1,0.4203,171.75,2.10601,29.119040000000002,17.2089,90.65,241.29,-25.94,499100000000.0,153500000000.0,-69520000000.0,0.0308,428692881,428692881,3058452146,12337,180,-1,428695312,428693058,10.3923,723870000000,705610000000,559500000000,466950000000,314570000000,7.44373,8.26,0.025910000000000002,0.94435,0.72715,-0.7518,3.86648,7.23424,0.8708100000000001,0.72239,6.715910000000001,-1.16034,1.68992,0.5488,934100000000,262900000000,645200000000.0,1215000000000.0,171.75,214.5,0.3903,-66.77,-110.7,-119.9,-140.1,27.08,0.7124,1.0,0.754,1191000000000.0,187.79,188.83
1333,1.00035,3058452204,0.0,-1,1,-1,-1,-1,0,441433000000.0,414200000000.0,154.267,8.478,136.63,1,0.3183,140.25,2.69446,29.42175,17.89165,405.13,460.39,-297.0,-50590000000.0,-161200000000.0,12640000000.0,0.01987,478639360,478639360,3058452204,12395,180,-1,478640927,478639536,11.0424,439010000000,444600000000,375910000000,321120000000,179780000000,1.53199,3.88,0.01744,0.77176,0.6946,5.09768,-3.94438,8.45316,0.83183,0.7148100000000001,3.3784,-3.9809900000000003,7.27118,0.5552,585200000000,152100000000,414200000000.0,725100000000.0,140.25,171.81,0.3303,-23.85,-27.29,-67.25,-72.27,3.565,0.6884,1.0,0.7120000000000001,699800000000.0,158.83,159.6
1744,1.00035,3058451979,0.0,-1,1,3058452345,3058452345,-1,0,311300000000.0,311300000000.0,140.258,3.038,144.62,1,0.5443,142.81,1.53922,29.884790000000002,17.467010000000002,-415.34,797.67,386.32,50190000000.0,107600000000.0,87280000000.0,0.029480000000000003,513255815,513255815,3058451979,12170,180,-1,513256487,513255993,6.61505,364320000000,318930000000,298630000000,268510000000,178280000000,1.22115,6.33,0.024419999999999997,0.8687600000000001,0.72008,-1.03636,1.26893,7.332510000000001,0.9154200000000001,0.7359,0.89259,-0.59758,6.626460000000001,0.599,532600000000,131700000000,368500000000.0,516400000000.0,146.35,159.18,0.3724,-26.23,-18.3,-27.66,-14.1,0.0,0.5744,0.868,0.868,368500000000.0,146.35,150.61
2433,1.00035,3058452194,0.0,-1,1,-1,-1,-1,0,226533000000.0,217100000000.0,124.385,4.316,117.11,1,0.4023,128.01,2.43129,30.082309999999996,17.26521,187.9,411.31,28.2,111200000000.0,63650000000.0,52100000000.0,0.051370000000000006,560137315,560137315,3058452194,12385,180,-1,560138507,560137494,5.65263,240840000000,239200000000,188910000000,159060000000,114490000000,2.32288,5.11,0.04179,0.9389200000000001,0.8399,-2.9504099999999998,1.17798,5.45478,0.9409700000000001,0.78764,-1.49461,3.63997,3.62969,0.5458,350600000000,92000000000,217100000000.0,359400000000.0,128.01,149.03,0.3903,-16.69,-23.2,-26.68,-33.24,0.0,0.4803,1.0,0.7659999999999999,351900000000.0,139.3,142.0
3140,1.00035,3058451904,0.0,-1,1,-1,-1,-1,0,246016000000.0,162300000000.0,112.893,3.89,103.21,1,0.1503,113.7,2.62673,29.26105,17.01306,-302.27,-107.19,376.39,32840000000.0,-5129000000.0,-36340000000.0,0.03154,601336253,601336253,3058451904,12095,180,-1,601336869,601336430,5.53038,164240000000,168190000000,152110000000,133710000000,86412000000,3.60106,7.12,0.02416,0.94949,0.87039,2.97189,4.98187,0.66543,0.9098,0.79406,3.18712,4.26337,0.71777,0.5048,258600000000,65150000000,162300000000.0,243300000000.0,113.7,130.43,0.2823,4.769,0.4741,0.050789999999999995,1.379,0.0,0.6044,1.0,0.544,237200000000.0,122.74,126.46
3402,1.00035,3058452222,0.0,-1,1,3058452345,3058452345,-1,0,147700000000.0,147700000000.0,109.405,10.594,88.42,1,0.1323,92.94,1.50276,29.594959999999997,17.09773,859.54,-185.7,284.44,30500000000.0,-20770000000.0,-41120000000.0,0.03234,615535923,615535923,3058452222,12413,180,-1,615536442,615536096,10.3742,155650000000,161780000000,126620000000,103590000000,39662000000,8.12919,16.22,0.03171,0.77051,0.56257,-0.6217600000000001,-5.43053,8.11784,0.5707399999999999,0.41213999999999995,-1.64225,-5.5892800000000005,6.700989999999999,0.5714,180900000000,83410000000,165600000000.0,175700000000.0,97.48,109.83,0.3483,-23.85,-35.62,-10.96,-6.6160000000000005,1.597,0.7124,0.937,0.7959999999999999,166800000000.0,100.93,95.36
