,#scale(0),id(1),desc_scale(2),desc_id(3),num_prog(4),pid(5),upid(6),desc_pid(7),phantom(8),sam_mvir(9),mvir(10),rvir(11),rs(12),vrms(13),mmp?(14),scale_of_last_MM(15),vmax(16),x(17),y(18),z(19),vx(20),vy(21),vz(22),Jx(23),Jy(24),Jz(25),Spin(26),Breadth_first_ID(27),Depth_first_ID(28),Tree_root_ID(29),Orig_halo_ID(30),Snap_num(31),Next_coprogenitor_depthfirst_ID(32),Last_progenitor_depthfirst_ID(33),Last_mainleaf_depthfirst_ID(34),Rs_Klypin(35),Mvir_all(36),M200b(37),M200c(38),M500c(39),M2500c(40),Xoff(41),Voff(42),Spin_Bullock(43),b_to_a(44),c_to_a(45),A[x](46),A[y](47),A[z](48),b_to_a(500c)(49),c_to_a(500c)(50),A[x](500c)(51),A[y](500c)(52),A[z](500c)(53),T/|U|(54),M_pe_Behroozi(55),M_pe_Diemer(56),Macc(57),Mpeak(58),Vacc(59),Vpeak(60),Halfmass_Scale(61),Acc_Rate_Inst(62),Acc_Rate_100Myr(63),Acc_Rate_1*Tdyn(64),Acc_Rate_2*Tdyn(65),Acc_Rate_Mpeak(66),Mpeak_Scale(67),Acc_Scale(68),First_Acc_Scale(69),First_Acc_Mvir(70),First_Acc_Vmax(71),Vmax@Mpeak(72)
534,1.00035,3058673697,0.0,-1,1,-1,-1,-1,0,1127000000000.0,1127000000000.0,215.367,21.507,181.21,1,0.4503,181.26,6.1618,39.21922,23.2942,-91.25,-17.22,-218.98,725700000000.0,-678200000000.0,8303000000.0,0.01948,371652894,371652894,3058673697,233888,180,-1,371655347,371653071,21.2751,1127000000000,1212600000000,972480000000,756450000000,383950000000,5.90099,10.48,0.019280000000000002,0.6776,0.54527,0.59663,15.9675,-0.036039999999999996,0.6110399999999999,0.47916000000000003,0.25928,13.1743,0.30213,0.591,1309000000000,628300000000,1127000000000.0,1127000000000.0,181.26,188.84,0.4623,23.85,47.63,35.39,36.38,31.27,1.0,1.0,1.0,1127000000000.0,181.26,181.26
535,1.00035,3058478559,0.0,-1,1,-1,-1,-1,0,1120000000000.0,1120000000000.0,214.932,18.502,194.61,1,0.3783,182.31,10.442910000000001,30.671909999999997,42.072990000000004,87.09,97.89,-461.42,-421400000000.0,-1535000000000.0,1823000000000.0,0.04596,372235306,372235306,3058478559,38750,180,-1,372236826,372235482,20.5111,1120900000000,1208500000000,978890000000,810970000000,381220000000,15.7583,28.07,0.04745,0.55613,0.46431999999999995,-5.5376,11.96,6.27356,0.44568,0.34529,-5.98517,10.5409,5.3647,0.6442,1424000000000,559800000000,1120000000000.0,1120000000000.0,182.31,208.23,0.4204,23.85,27.63,123.3,95.61,82.75,1.0,1.0,1.0,1120000000000.0,182.31,182.31
536,1.00035,3060300475,0.0,-1,1,-1,-1,-1,0,1119000000000.0,1119000000000.0,214.845,20.017,194.54,1,0.1923,182.5,37.96553,46.64651,24.5843,180.44,110.27,-399.01,-239900000000.0,-2765000000000.0,2433000000000.0,0.059829999999999994,372333975,372333975,3060300475,1860666,180,-1,372335566,372334150,20.3719,1126100000000,1215600000000,961580000000,773210000000,371000000000,13.2563,60.9,0.07253,0.56072,0.42986,-6.36798,12.8079,10.9838,0.44646,0.34098,-6.4492400000000005,11.3945,9.07553,0.7332,1346000000000,609500000000,1119000000000.0,1119000000000.0,182.5,190.33,0.6103,23.85,37.63,168.5,112.4,99.43,1.0,1.0,1.0,1119000000000.0,182.5,182.5
537,1.00035,3058455613,0.0,-1,1,-1,-1,-1,0,1114000000000.0,1114000000000.0,214.557,34.714,165.35,1,0.3363,166.85,28.3113,9.353019999999999,17.400660000000002,-69.86,218.55,-338.25,-1740000000000.0,1038000000000.0,-342900000000.0,0.040010000000000004,372740472,372740472,3058455613,15804,180,-1,372742808,372740645,31.3316,1114600000000,1235500000000,905420000000,666220000000,259100000000,6.76284,3.04,0.04065,0.90851,0.7176600000000001,10.8702,8.06986,2.25936,0.80183,0.6703899999999999,8.247160000000001,6.628080000000001,-1.2444899999999999,0.5632,1174000000000,827700000000,1114000000000.0,1114000000000.0,166.85,168.98,0.4324,0.0,23.81,46.85,43.71,43.15,0.9973,1.0,1.0,1114000000000.0,166.85,166.85
538,1.00035,3058443131,0.0,-1,1,-1,-1,-1,0,1110330000000.0,1110000000000.0,214.276,12.736,188.16,1,0.1923,195.89,23.6615,10.410860000000001,9.234169999999999,-124.47,383.03,-104.43,-153800000000.0,27700000000.0,72150000000.0,0.00402,373124489,373124489,3058443131,3322,180,-1,373125965,373124662,15.0069,1110100000000,1166800000000,1011600000000,841360000000,476490000000,3.90306,8.96,0.00343,0.8729600000000001,0.5916,3.1099200000000002,10.4973,-3.6535300000000004,0.83775,0.5375,1.92157,9.463239999999999,-2.81639,0.5382,1521000000000,447700000000,1110000000000.0,1111000000000.0,195.89,215.14,0.3543,-23.85,3.815,34.89,27.99,27.97,0.9973,1.0,1.0,1110000000000.0,195.89,196.64
539,1.00035,3058478276,0.0,-1,1,-1,-1,-1,0,1110670000000.0,1110000000000.0,214.259,39.086,166.69,1,0.7843,161.86,7.74516,22.83908,35.82336,15.84,288.82,-230.62,107800000000.0,-1350000000000.0,-107700000000.0,0.02476,373125966,373125966,3058478276,38467,180,-1,373127823,373126143,37.1659,1110500000000,1238300000000,875570000000,568770000000,277910000000,12.0401,18.52,0.02706,0.66509,0.57272,9.77082,-1.87946,13.6862,0.47576,0.39013000000000003,9.24115,-1.9869999999999999,9.11507,0.6004,1133000000000,880300000000,1110000000000.0,1112000000000.0,161.86,184.2,0.6403,23.85,-6.185,62.0,132.1,106.9,0.9794,1.0,1.0,1110000000000.0,161.86,169.8
540,1.00035,3060104780,0.0,-1,1,-1,-1,-1,0,1138670000000.0,1110000000000.0,214.285,21.714,173.75,1,0.4443,180.45,46.922470000000004,10.54352,37.15641,-492.86,158.44,-47.96,278000000000.0,-868200000000.0,-76540000000.0,0.02002,373143046,373143046,3060104780,1664971,180,-1,373144578,373143221,21.1165,1130600000000,1220100000000,954900000000,734100000000,381500000000,6.585,12.07,0.01821,0.92399,0.7754,1.92261,10.4916,0.55299,0.8618,0.69919,3.88355,7.8319399999999995,0.79194,0.5308,1275000000000,618500000000,1110000000000.0,1141000000000.0,180.45,201.87,0.4444,0.0,27.63,-12.96,12.72,35.03,0.8444,1.0,1.0,1110000000000.0,180.45,183.09
541,1.00035,3058442762,0.0,-1,1,-1,-1,-1,0,1109000000000.0,1109000000000.0,214.18,134.336,184.27,1,0.9283,153.55,17.632579999999997,9.17083,10.490639999999999,45.06,271.1,-189.25,-2803000000000.0,-787400000000.0,5358000000000.0,0.04217,373218646,373218646,3058442762,2953,180,-1,373219121,373218819,55.8169,1109700000000,1405200000000,836180000000,259780000000,111490000000,45.0186,14.39,0.12170999999999998,0.6227600000000001,0.31648000000000004,12.1582,-8.437489999999999,11.2194,0.83209,0.7001,4.72196,-3.0575200000000002,-4.9402800000000004,0.929,1162000000000,1870000000000,1109000000000.0,1109000000000.0,153.55,153.55,0.6283,71.54,214.2,288.3,152.5,103.2,1.0,1.0,1.0,1109000000000.0,153.55,153.55
542,1.00035,3058455541,0.0,-1,1,-1,-1,-1,0,1107000000000.0,1107000000000.0,214.057,65.501,169.74,1,0.7543,152.4,10.29585,13.83871,18.35305,-54.35,307.89,-338.22,-813000000000.0,-2789000000000.0,1557000000000.0,0.0523,373386306,373386306,3058455541,15732,180,-1,373387302,373386476,60.1425,1155300000000,1431800000000,820780000000,447330000000,226660000000,21.9368,30.01,0.06596,0.45274,0.29305,-0.23640999999999998,11.1938,14.2527,0.91096,0.62227,6.5960600000000005,5.59121,1.2756100000000001,0.6788,1186000000000,1352000000000,1107000000000.0,1107000000000.0,152.4,166.06,0.5103,476.9,329.1,103.7,130.1,107.2,1.0,1.0,1.0,1107000000000.0,152.4,152.4
543,1.00035,3060090167,0.0,-1,1,3060090160,3060090160,-1,0,1106000000000.0,1106000000000.0,214.039,22.711,182.63,1,0.4743,177.07,47.55757,14.64696,13.43621,-386.3,-59.84,519.69,159700000000.0,-709500000000.0,-500900000000.0,0.01746,373477178,373477178,3060090167,1650358,180,-1,373479313,373477355,22.8672,1157800000000,1207700000000,954900000000,752090000000,346060000000,7.2012,11.34,0.01768,0.8589700000000001,0.6543100000000001,5.54186,10.6467,-6.02405,0.89489,0.63515,-2.44212,-7.379230000000001,7.31577,0.6092,1309000000000,646700000000,1123000000000.0,1178000000000.0,174.96,210.15,0.4743,-95.38,-75.78,5.476,2.313,9.935,0.8324,0.9640000000000001,0.9640000000000001,1123000000000.0,174.96,176.89
